"name","SMILES"
"structure 27","Cc1c(N)c(C(C)(C)C)c(C#N)c(C(=O)O)c1O"
"structure 28","[H]c1c(C(=O)O)c(O)c(CO)c(CC(C)C)c1C(C)(C)C"
"structure 29","CC(C)Cc1c(C#N)c(O)c(C(=O)O)c(CO)c1C(C)(C)C"
"structure 30","CCCc1c(CC)c(O)c(C(=O)O)c(CC)c1C(=O)NC"
"structure 31","[H]c1c(C#N)c(C(=O)O)c(O)c(CN)c1C(=O)O"
"structure 32","Cc1c(CN)c(O)c(C(=O)O)c(C)c1C(C)(C)C"
"structure 33","[H]c1c([H])c(C#N)c(C)c(C(=O)O)c1O"
"structure 34","[H]c1c(O)c(CC)c(C(=O)O)c(O)c1CN"
"structure 35","Cc1c(O)c(C(=O)O)c(C#N)c(C)c1CN"
"structure 36","[H]c1c(CO)c(CCC)c(C)c(O)c1C(=O)O"
"structure 37","Cc1c(C(=O)O)c(O)c(CC(C)C)c(O)c1C(C)(C)C"
"structure 38","[H]c1c(CC(C)C)c(O)c(C(=O)O)c(CO)c1CN"
"structure 39","CCCc1c(C)c(C)c(O)c(C(=O)O)c1CC"
"structure 40","CC(C)(C)c1c(N)c(C#N)c(C(=O)O)c(O)c1C(=O)O"
"structure 41","COC(=O)c1c(C)c(O)c(C(=O)O)c(C(=O)OC)c1O"
"structure 42","CNC(=O)c1c(CC(C)C)c(C)c(C(C)(C)C)c(O)c1C(=O)O"
"structure 43","CNC(=O)c1c(N)c(C)c(CN)c(C(=O)O)c1O"
"structure 44","CNC(=O)c1c(C)c(O)c(C(=O)O)c(CO)c1N"
"structure 45","COC(=O)c1c(O)c(C(=O)O)c(CO)c(C)c1CN"
"structure 46","CCc1c(O)c(C(=O)O)c(C(C)(C)C)c(C(C)(C)C)c1C(=O)NC"
"structure 47","[H]c1c(O)c(O)c(CC(C)C)c(O)c1C(=O)O"
"structure 48","CCc1c(C#N)c(O)c(C(=O)O)c(C(=O)OC)c1CN"
"structure 49","CCCc1c(C(=O)O)c(O)c(CN)c(CO)c1C(=O)NC"
"structure 50","CCCc1c(C(=O)NC)c(C(=O)O)c(O)c(C(=O)NC)c1C(C)(C)C"
"structure 51","CC(C)Cc1c(O)c(O)c(C(=O)O)c(CN)c1C(=O)O"
"structure 52","[H]c1c(O)c(C(=O)O)c(C#N)c(N)c1C(=O)O"
"structure 53","O=C(O)c1c(O)c(O)c(C(=O)O)c(CO)c1CO"
"structure 54","[H]c1c(O)c(C(=O)O)c(CC)c(C(=O)NC)c1CN"
"structure 55","CCc1c(N)c(O)c(C(=O)O)c(O)c1C#N"
"structure 56","CC(C)(C)c1c(CO)c(C#N)c(O)c(C(=O)O)c1CO"
"structure 57","CCc1c(O)c(C(=O)O)c(C(C)(C)C)c(CC(C)C)c1CC(C)C"
"structure 58","[H]c1c(N)c(C)c(C(=O)O)c(O)c1C(=O)O"
"structure 59","CCc1c(O)c(C(=O)O)c(C)c(CN)c1CC(C)C"
"structure 60","CCCc1c(O)c(C(=O)O)c(C(=O)OC)c(C(=O)OC)c1CN"
"structure 61","COC(=O)c1c(O)c(C(=O)O)c(C(=O)O)c(CC(C)C)c1C(=O)OC"
"structure 62","[H]c1c(CC(C)C)c(C(=O)O)c(O)c(C(C)(C)C)c1C(C)(C)C"
"structure 63","CCc1c(C)c(C(=O)O)c(O)c(O)c1CN"
"structure 64","CCc1c(O)c(CO)c(C(=O)O)c(O)c1C(=O)OC"
"structure 65","CCc1c(C#N)c(O)c(C(=O)O)c(C#N)c1C#N"
"structure 66","CCc1c(C(=O)O)c(C(=O)O)c(O)c(C#N)c1C(C)(C)C"
"structure 67","CCCc1c(CC(C)C)c(C(=O)O)c(O)c(C(=O)NC)c1C(C)(C)C"
"structure 68","CCCc1c(O)c(C(=O)O)c(C(=O)OC)c(CO)c1CCC"
"structure 69","CCCc1c(C(=O)O)c(O)c(CO)c(C(=O)OC)c1C(=O)O"
"structure 70","CCCc1c(O)c(C(=O)O)c(C(=O)O)c(C(=O)NC)c1C(C)(C)C"
"structure 71","CCCc1c(C(=O)O)c(O)c(C(=O)O)c(C#N)c1C(=O)OC"
"structure 72","Cc1c(N)c(O)c(O)c(C(=O)O)c1CN"
"structure 73","CCCc1c(O)c(C(=O)O)c(C(=O)O)c(CCC)c1CN"
"structure 74","CCc1c(CN)c(C(=O)O)c(CO)c(O)c1C(=O)O"
"structure 75","CNC(=O)c1c(CO)c(CO)c(O)c(O)c1C(=O)O"
"structure 76","[H]c1c(CN)c(CN)c(O)c(C(=O)O)c1C(=O)O"
"structure 77","[H]c1c(O)c(C(=O)O)c(CC(C)C)c(N)c1CN"
"structure 78","COC(=O)c1c(C(=O)O)c(O)c(C(C)(C)C)c(CN)c1C(C)(C)C"
"structure 79","CNC(=O)c1c(N)c(C(=O)O)c(N)c(O)c1C(=O)O"
"structure 80","COC(=O)c1c(N)c(C#N)c(C(=O)O)c(O)c1CN"
"structure 81","CNC(=O)c1c(O)c(C(=O)O)c(CN)c(C(C)(C)C)c1O"
"structure 82","Cc1c(C#N)c(CO)c(O)c(C(=O)O)c1C(=O)O"
"structure 83","CCc1c(C)c(C(=O)O)c(O)c(C(C)(C)C)c1CC(C)C"
"structure 84","CCCc1c(CC)c(O)c(C(=O)O)c(C)c1C(=O)OC"
"structure 85","CCCc1c(C(=O)O)c(O)c(C)c(O)c1C(=O)OC"
"structure 86","CCCc1c(CN)c(C#N)c(CC)c(O)c1C(=O)O"
"structure 87","CCc1c(N)c(C)c(CC(C)C)c(C(=O)O)c1O"
"structure 88","[H]c1c(O)c(C)c(O)c(C(=O)O)c1CCC"
"structure 89","[H]c1c(C)c(CO)c(C(=O)O)c(O)c1CCC"
"structure 90","[H]c1c(CN)c(O)c(C(=O)O)c(C#N)c1C(C)(C)C"
"structure 91","[H]c1c(CC)c(O)c(C(C)(C)C)c(O)c1C(=O)O"
"structure 92","CCc1c(C#N)c(CC)c(C(=O)O)c(O)c1C(=O)O"
"structure 93","CCCc1c(C#N)c(CC)c(O)c(C(=O)O)c1CO"
"structure 94","CCc1c(C(=O)NC)c(N)c(C)c(O)c1C(=O)O"
"structure 95","COC(=O)c1c(O)c(C(=O)O)c(O)c(C)c1CO"
"structure 96","CCCc1c(CC(C)C)c(O)c(C(=O)O)c(C#N)c1C(=O)OC"
"structure 97","Cc1c(C#N)c(O)c(C(=O)O)c(C(=O)O)c1CC(C)C"
"structure 98","CCCc1c(C#N)c(CC)c(CC)c(O)c1C(=O)O"
"structure 99","CCc1c(O)c(C(=O)O)c(CN)c(C(C)(C)C)c1C(C)(C)C"
"structure 100","CCc1c(C)c(C(C)(C)C)c(O)c(C(=O)O)c1C#N"
"structure 101","CCc1c(CC(C)C)c(C)c(C(=O)O)c(O)c1CO"
"structure 102","CCc1c(CC(C)C)c(C(=O)O)c(O)c(C(=O)NC)c1C(=O)O"
"structure 103","[H]c1c(C(=O)O)c(O)c(C(C)(C)C)c(CC)c1C(=O)NC"
"structure 104","CC(C)Cc1c(C(=O)O)c(O)c(O)c(C(=O)O)c1C(C)(C)C"
"structure 105","[H]c1c(C#N)c(C(=O)OC)c(CO)c(O)c1C(=O)O"
"structure 106","CCCc1c(C(=O)O)c(CC)c(O)c(C(=O)O)c1C(=O)O"
"structure 107","[H]c1c(CN)c(CO)c(C(=O)NC)c(O)c1C(=O)O"
"structure 108","[H]c1c(O)c(CO)c(CCC)c(O)c1C(=O)O"
"structure 109","[H]c1c(O)c(C(=O)O)c(O)c(CCC)c1CN"
"structure 110","CC(C)Cc1c(O)c(C(=O)O)c(O)c(CO)c1CC(C)C"
"structure 111","CCCc1c(O)c(C(=O)O)c(CC(C)C)c(C(=O)O)c1C(C)(C)C"
"structure 112","[H]c1c(O)c(C(=O)O)c(C(=O)OC)c(C#N)c1CC(C)C"
"structure 113","CCCc1c(C#N)c(C(=O)O)c(O)c(C(=O)O)c1CC(C)C"
"structure 114","COC(=O)c1c(C#N)c(O)c(C(=O)O)c(CN)c1CN"
"structure 115","[H]c1c(CO)c(CO)c(C(=O)NC)c(O)c1C(=O)O"
"structure 116","CCc1c(CN)c(CC(C)C)c(C#N)c(O)c1C(=O)O"
"structure 117","CCc1c(O)c(C(=O)O)c(N)c(CN)c1C(=O)OC"
"structure 118","CCCc1c(O)c(C(=O)O)c(C)c(CC(C)C)c1C#N"
"structure 119","[H]c1c([H])c(CO)c(C(=O)O)c(O)c1CC"
"structure 120","[H]c1c(C(=O)O)c(CC)c(C(=O)O)c(O)c1C(C)(C)C"
"structure 121","CCc1c(N)c(O)c(C(=O)O)c(C(=O)OC)c1CC"
"structure 122","CNC(=O)c1c(O)c(C(=O)O)c(CC(C)C)c(C)c1CN"
"structure 123","[H]c1c(C(=O)O)c(O)c(CCC)c(CC(C)C)c1C(C)(C)C"
"structure 124","CNC(=O)c1c(O)c(C(C)(C)C)c(C(=O)O)c(O)c1C(=O)OC"
"structure 125","[H]c1c(C)c(C(=O)O)c(O)c(C(=O)OC)c1O"
"structure 126","CCCc1c(C)c(C(=O)O)c(N)c(O)c1C(=O)O"
"structure 127","CCc1c(C(=O)O)c(O)c(C(=O)OC)c(O)c1C(=O)OC"
"structure 128","COC(=O)c1c(C)c(CC(C)C)c(N)c(O)c1C(=O)O"
"structure 129","[H]c1c(O)c(C(=O)O)c(C(=O)O)c(CO)c1CO"
"structure 130","CCCc1c(CC(C)C)c(C(=O)O)c(O)c(C(=O)OC)c1C(=O)O"
"structure 131","CCCc1c(C)c(C#N)c(CO)c(C(=O)O)c1O"
"structure 132","CCCc1c(CC)c(C(=O)O)c(C(=O)O)c(O)c1C(C)(C)C"
"structure 133","[H]c1c(O)c(O)c(CN)c(C(=O)O)c1O"
"structure 134","CCCc1c(O)c(C(=O)O)c(N)c(C(=O)NC)c1C(=O)OC"
"structure 135","CCCc1c(O)c(C(=O)O)c(C#N)c(C(=O)OC)c1CC(C)C"
"structure 136","CCCc1c(CN)c(O)c(C(=O)O)c(CCC)c1CO"
"structure 137","CNC(=O)c1c(C(C)(C)C)c(CC(C)C)c(O)c(C(=O)O)c1C(C)(C)C"
"structure 138","COC(=O)c1c(O)c(C(=O)O)c(O)c(C#N)c1C#N"
"structure 139","CNC(=O)c1c(CC(C)C)c(CN)c(CN)c(O)c1C(=O)O"
"structure 140","CNC(=O)c1c(C#N)c(O)c(O)c(C(=O)O)c1C(=O)OC"
"structure 141","CNC(=O)c1c(O)c(O)c(C(=O)O)c(C(=O)NC)c1O"
"structure 142","[H]c1c(C)c(C)c(C(=O)O)c(O)c1C"
"structure 143","COC(=O)c1c(N)c(O)c(C(=O)O)c(CO)c1CN"
"structure 144","CCCc1c(O)c(C(=O)O)c(C)c(C)c1C#N"
"structure 145","Cc1c(O)c(O)c(C(=O)O)c(O)c1CN"
"structure 146","CCc1c(O)c(C(=O)O)c(C(C)(C)C)c(CN)c1C#N"
"structure 147","CC(C)Cc1c(O)c(C(=O)O)c(C(=O)O)c(C(=O)O)c1CC(C)C"
"structure 148","CCCc1c(C)c(C(=O)O)c(O)c(CN)c1CO"
"structure 149","[H]c1c(C#N)c(CCC)c(C#N)c(O)c1C(=O)O"
"structure 150","CC(C)Cc1c(CN)c(CO)c(O)c(C(=O)O)c1CC(C)C"
"structure 151","[H]c1c(CC)c(N)c(C(=O)NC)c(O)c1C(=O)O"
"structure 152","CCCc1c(O)c(C(=O)O)c(C(C)(C)C)c(CCC)c1C(=O)NC"
"structure 153","CCCc1c(CO)c(C(=O)O)c(C(=O)O)c(O)c1C(=O)OC"
"structure 154","[H]c1c([H])c(O)c(C(=O)O)c(C#N)c1N"
"structure 155","COC(=O)c1c(O)c(C(=O)O)c(CC(C)C)c(N)c1C(=O)O"
"structure 156","CCCc1c(C(=O)NC)c(C(=O)OC)c(O)c(C(=O)O)c1C(=O)OC"
"structure 157","CC(C)Cc1c(C#N)c(C(C)(C)C)c(C(=O)O)c(O)c1CO"
"structure 158","CCCc1c(C(=O)O)c(C(=O)OC)c(O)c(C(=O)O)c1C(=O)NC"
"structure 159","CNC(=O)c1c(C#N)c(O)c(C(=O)O)c(CN)c1CO"
"structure 160","CNC(=O)c1c(O)c(N)c(C(C)(C)C)c(O)c1C(=O)O"
"structure 161","CCCc1c(C(=O)O)c(N)c(O)c(C(=O)O)c1C(=O)OC"
"structure 162","CCCc1c(C#N)c(C(=O)O)c(O)c(CC)c1C(=O)O"
"structure 163","[H]c1c(CCC)c(N)c(C)c(O)c1C(=O)O"
"structure 164","CCCc1c(C#N)c(O)c(O)c(C(=O)O)c1C(=O)NC"
"structure 165","CNC(=O)c1c(C(=O)O)c(O)c(C(=O)O)c(O)c1C(=O)O"
"structure 166","[H]c1c(C(=O)O)c(O)c(C#N)c(CCC)c1C(=O)NC"
"structure 167","CCCc1c(CC(C)C)c(C(=O)OC)c(CO)c(O)c1C(=O)O"
"structure 168","[H]c1c(N)c(O)c(O)c(C(=O)O)c1C#N"
"structure 169","CCc1c(C(=O)OC)c(C)c(N)c(O)c1C(=O)O"
"structure 170","COC(=O)c1c(C)c(O)c(C(C)(C)C)c(C(=O)O)c1O"
"structure 171","CCCc1c(CO)c(N)c(CO)c(O)c1C(=O)O"
"structure 172","CCc1c(C(=O)O)c(O)c(N)c(CO)c1C(=O)NC"
"structure 173","CC(C)Cc1c(C(=O)O)c(CN)c(O)c(C(=O)O)c1C(=O)O"
"structure 174","Cc1c(CN)c(C#N)c(C#N)c(O)c1C(=O)O"
"structure 175","CCCc1c(O)c(C(=O)O)c(C(=O)O)c(CC)c1C(C)(C)C"
"structure 176","CC(C)Cc1c(O)c(C(=O)O)c(C#N)c(C(C)(C)C)c1C(C)(C)C"
"structure 177","Cc1c(O)c(C(=O)O)c(N)c(C(=O)O)c1O"
"structure 178","NCc1c(O)c(O)c(C(=O)O)c(CN)c1CN"
"structure 179","[H]c1c(CCC)c(CC(C)C)c(CCC)c(O)c1C(=O)O"
"structure 180","CCCc1c(O)c(C#N)c(C)c(O)c1C(=O)O"
"structure 181","COC(=O)c1c(C)c(CC(C)C)c(O)c(C(=O)O)c1N"
"structure 182","CC(C)Cc1c(C(=O)O)c(O)c(C(=O)O)c(CC(C)C)c1C(=O)O"
"structure 183","CNC(=O)c1c(C#N)c(O)c(C(=O)O)c(N)c1CN"
"structure 184","CCCc1c(CO)c(C(=O)NC)c(O)c(C(=O)O)c1C(=O)OC"
"structure 185","CCCc1c(O)c(C(=O)O)c(C(=O)NC)c(O)c1C(C)(C)C"
"structure 186","CCCc1c(C)c(C(C)(C)C)c(O)c(C(=O)O)c1CN"
"structure 187","CCc1c(C)c(C(=O)O)c(O)c(CC(C)C)c1CN"
"structure 188","CCc1c(O)c(C(=O)O)c(C(=O)O)c(CC)c1CN"
"structure 189","Cc1c(C#N)c(CC(C)C)c(C(C)(C)C)c(O)c1C(=O)O"
"structure 190","CCCc1c(CC)c(C(=O)O)c(C(=O)OC)c(O)c1C(=O)O"
"structure 191","CC(C)(C)c1c(N)c(CO)c(CN)c(O)c1C(=O)O"
"structure 192","CCCc1c(CN)c(O)c(C(=O)O)c(C(C)(C)C)c1CO"
"structure 193","CCc1c(C(=O)O)c(O)c(CC(C)C)c(C#N)c1C(=O)NC"
"structure 194","COC(=O)c1c(C#N)c(O)c(C(=O)O)c(C(C)(C)C)c1CO"
"structure 195","CNC(=O)c1c(CO)c(C)c(C(=O)O)c(O)c1CO"
"structure 196","CCc1c(O)c(C(=O)O)c(C(=O)NC)c(CO)c1CC"
"structure 197","[H]c1c(C#N)c(C(=O)O)c(O)c(C(=O)NC)c1CCC"
"structure 198","[H]c1c(C)c(O)c(O)c(C(=O)O)c1CCC"
"structure 199","[H]c1c([H])c(CC)c(C(=O)O)c(O)c1CO"
"structure 200","NCc1c(N)c(CN)c(C(=O)O)c(O)c1O"
"structure 201","CCc1c(O)c(C(=O)O)c(CC)c(C(=O)NC)c1CC"
"structure 202","N#Cc1c(N)c(O)c(C(=O)O)c(C#N)c1CO"
"structure 203","NCc1c(N)c(N)c(C(=O)O)c(O)c1O"
"structure 204","[H]c1c(C)c(C(=O)OC)c(C(=O)O)c(O)c1CO"
"structure 205","CCc1c(O)c(C(=O)O)c(C(=O)NC)c(CC(C)C)c1C(C)(C)C"
"structure 206","Cc1c(O)c(C(=O)O)c(C(C)(C)C)c(C(C)(C)C)c1C#N"
"structure 207","[H]c1c(N)c(C(=O)OC)c(C(=O)NC)c(C(=O)O)c1O"
"structure 208","[H]c1c(CC(C)C)c(C)c(C(=O)O)c(O)c1CCC"
"structure 209","COC(=O)c1c(O)c(C#N)c(CO)c(C(=O)O)c1O"
"structure 210","CNC(=O)c1c(N)c(C(=O)OC)c(O)c(C(=O)O)c1C(=O)O"
"structure 211","Cc1c(N)c(C#N)c(N)c(C(=O)O)c1O"
"structure 212","[H]c1c(C#N)c(CCC)c(C(C)(C)C)c(O)c1C(=O)O"
"structure 213","Cc1c(O)c(C#N)c(CC(C)C)c(C(=O)O)c1O"
"structure 214","[H]c1c(O)c(N)c(C)c(C(=O)O)c1O"
"structure 215","CCc1c(O)c(C(=O)O)c(O)c(CC)c1CN"
"structure 216","CCc1c(O)c(C(=O)NC)c(C(C)(C)C)c(O)c1C(=O)O"
"structure 217","[H]c1c(CC(C)C)c(CN)c(O)c(C(=O)O)c1C(=O)O"
"structure 218","CNC(=O)c1c(O)c(C(=O)O)c(O)c(C(=O)NC)c1C(=O)O"
"structure 219","[H]c1c(C#N)c(CCC)c(CN)c(O)c1C(=O)O"
"structure 220","[H]c1c(O)c(C(=O)O)c(CN)c(C(=O)OC)c1CO"
"structure 221","CCCc1c(C#N)c(C(=O)O)c(O)c(C)c1CC(C)C"
"structure 222","CCCc1c(O)c(C(=O)O)c(C(=O)O)c(C)c1C#N"
"structure 223","[H]c1c([H])c(CC(C)C)c(C(=O)O)c(O)c1C#N"
"structure 224","COC(=O)c1c(C)c(C(=O)O)c(C(=O)O)c(O)c1C(C)(C)C"
"structure 225","CCCc1c(O)c(C(=O)O)c(N)c(C(C)(C)C)c1C(=O)OC"
"structure 226","[H]c1c(N)c(C(=O)O)c(O)c(C)c1CC"
"structure 227","CNC(=O)c1c(C(=O)O)c(O)c(C#N)c(C#N)c1C(C)(C)C"
"structure 228","CCc1c(CN)c(C(=O)NC)c(C(=O)O)c(O)c1C(C)(C)C"
"structure 229","CCCc1c(CO)c(CO)c(O)c(C(=O)O)c1C(=O)O"
"structure 230","[H]c1c(C(=O)NC)c(O)c(C(=O)O)c(C(C)(C)C)c1C(=O)O"
"structure 231","[H]c1c([H])c(CN)c(C(=O)O)c(O)c1CN"
"structure 232","[H]c1c(CC)c(C)c(O)c(O)c1C(=O)O"
"structure 233","[H]c1c(CO)c(O)c(C(=O)O)c(CO)c1CO"
"structure 234","CNC(=O)c1c(CO)c(O)c(O)c(C(=O)O)c1C(=O)O"
"structure 235","CCc1c(N)c(C(=O)OC)c(CO)c(O)c1C(=O)O"
"structure 236","[H]c1c([H])c(CN)c(C(=O)O)c(O)c1O"
"structure 237","[H]c1c(C)c(C)c(O)c(O)c1C(=O)O"
"structure 238","CNC(=O)c1c(C)c(C(=O)O)c(O)c(O)c1CO"
"structure 239","CCCc1c(N)c(C(C)(C)C)c(C(=O)O)c(O)c1C(C)(C)C"
"structure 240","CNC(=O)c1c(C)c(O)c(C(=O)O)c(O)c1C"
"structure 241","COC(=O)c1c(N)c(N)c(C#N)c(C(=O)O)c1O"
"structure 242","CCCc1c(CN)c(C(=O)OC)c(C(=O)O)c(O)c1C(C)(C)C"
"structure 243","[H]c1c([H])c(C(=O)OC)c(O)c(C(=O)O)c1CO"
"structure 244","[H]c1c(CO)c(CC(C)C)c(O)c(C(=O)O)c1CO"
"structure 245","CCCc1c(N)c(C(=O)OC)c(O)c(C(=O)O)c1CN"
"structure 246","COC(=O)c1c(CN)c(N)c(C(=O)O)c(O)c1C(=O)O"
"structure 247","CCCc1c(N)c(O)c(C(=O)O)c(O)c1N"
"structure 248","[H]c1c([H])c(O)c(C(=O)O)c(N)c1O"
"structure 249","[H]c1c(O)c(C(=O)O)c(CCC)c(O)c1CCC"
"structure 250","[H]c1c(C#N)c(C(=O)O)c(O)c(C#N)c1C(C)(C)C"
"structure 251","[H]c1c(O)c(C(=O)O)c(N)c(CC(C)C)c1C(=O)OC"
"structure 252","CCCc1c(O)c(C(=O)O)c(C#N)c(C)c1C(=O)NC"
"structure 253","COC(=O)c1c(C)c(O)c(C(=O)O)c(C(=O)OC)c1C(=O)O"
"structure 254","CNC(=O)c1c(C)c(CN)c(CC(C)C)c(O)c1C(=O)O"
"structure 255","[H]c1c(C)c(N)c(O)c(C(=O)O)c1CC(C)C"
"structure 256","Nc1c(O)c(C(=O)O)c(C(=O)O)c(N)c1C(=O)O"
"structure 257","[H]c1c(O)c(C(C)(C)C)c(C(=O)O)c(O)c1C(=O)O"
"structure 258","[H]c1c(O)c(C(=O)O)c(C(=O)OC)c(CC(C)C)c1CN"
"structure 259","CC(C)(C)c1c(CN)c(C(=O)O)c(CN)c(O)c1C(=O)O"
"structure 260","CCc1c(O)c(C(=O)O)c(C(=O)O)c(C(=O)O)c1CC"
"structure 261","CCCc1c(O)c(C(=O)O)c(C)c(C)c1CC"
"structure 262","CCc1c(O)c(C(=O)O)c(O)c(C(=O)O)c1O"
"structure 263","CCc1c(O)c(O)c(C(=O)O)c(CO)c1CC(C)C"
"structure 264","CCCc1c(O)c(C(=O)O)c(C(=O)O)c(C(=O)NC)c1C(=O)NC"
"structure 265","N#Cc1c(O)c(CO)c(C(=O)O)c(O)c1CO"
"structure 266","Cc1c(N)c(N)c(C(=O)O)c(C(=O)O)c1O"
"structure 267","CC(C)Cc1c(C(=O)O)c(O)c(C#N)c(C(=O)O)c1C(=O)O"
"structure 268","CC(C)Cc1c(CO)c(CN)c(C(C)(C)C)c(O)c1C(=O)O"
"structure 269","CCc1c(C(=O)O)c(O)c(C#N)c(CN)c1C(C)(C)C"
"structure 270","COC(=O)c1c(C)c(O)c(C(=O)O)c(CN)c1CO"
"structure 271","COC(=O)c1c(C(=O)O)c(C)c(CN)c(O)c1C(=O)O"
"structure 272","[H]c1c(C)c(C(C)(C)C)c(O)c(C(=O)O)c1CC"
"structure 273","[H]c1c(C(=O)O)c(O)c(C(=O)OC)c(CCC)c1C(=O)OC"
"structure 274","CC(C)Cc1c(C#N)c(CN)c(N)c(O)c1C(=O)O"
"structure 275","COC(=O)c1c(C)c(C(=O)O)c(O)c(C(=O)OC)c1C"
"structure 276","CC(C)Cc1c(CN)c(O)c(C(=O)O)c(CN)c1CO"
"structure 277","CCCc1c(O)c(C(=O)O)c(O)c(N)c1C(=O)NC"
"structure 278","CCCc1c(O)c(C(=O)O)c(C#N)c(C(=O)O)c1CCC"
"structure 279","Cc1c(C#N)c(O)c(C(=O)O)c(CN)c1C(C)(C)C"
"structure 280","[H]c1c(C)c(C#N)c(C(=O)OC)c(C(=O)O)c1O"
"structure 281","NCc1c(C(=O)O)c(O)c(CO)c(CO)c1C(=O)O"
"structure 282","CCCc1c(O)c(C(=O)O)c(C(=O)O)c(C)c1C(=O)OC"
"structure 283","CCc1c(C(=O)O)c(O)c(C(=O)NC)c(C(=O)NC)c1C(=O)NC"
"structure 284","CCCc1c(C)c(C(=O)O)c(O)c(C#N)c1C(C)(C)C"
"structure 285","CCCc1c(N)c(CC)c(C(=O)O)c(O)c1CO"
"structure 286","CCCc1c(C)c(C#N)c(O)c(C(=O)O)c1C(=O)O"
"structure 287","[H]c1c(CC(C)C)c(C#N)c(C#N)c(O)c1C(=O)O"
"structure 288","[H]c1c(C#N)c(C(=O)O)c(O)c(CCC)c1C(=O)O"
"structure 289","CCCc1c(CO)c(O)c(C(=O)O)c(C(=O)NC)c1C(=O)O"
"structure 290","[H]c1c(C)c(C(=O)O)c(O)c(C(=O)NC)c1CC"
"structure 291","CCCc1c(CN)c(O)c(C(=O)O)c(C)c1C(C)(C)C"
"structure 292","CC(C)Cc1c(CO)c(O)c(C(=O)O)c(C(=O)O)c1C(=O)O"
"structure 293","[H]c1c(CN)c(O)c(C(=O)O)c(CC)c1CCC"
"structure 294","N#Cc1c(O)c(C(=O)O)c(C#N)c(O)c1CN"
"structure 295","CCc1c(N)c(O)c(C(=O)O)c(C#N)c1C(=O)O"
"structure 296","CCc1c(C)c(C(=O)OC)c(C(=O)NC)c(C(=O)O)c1O"
"structure 297","[H]c1c(C#N)c(C(=O)O)c(O)c(C)c1C(=O)NC"
"structure 298","CC(C)Cc1c(C#N)c(O)c(C(=O)O)c(CC(C)C)c1C(=O)O"
"structure 299","[H]c1c(O)c(C(=O)OC)c(C(=O)O)c(O)c1C(=O)O"
"structure 300","CNC(=O)c1c(CN)c(CO)c(CC(C)C)c(O)c1C(=O)O"
"structure 301","COC(=O)c1c(C#N)c(O)c(C(=O)O)c(N)c1CO"
"structure 302","CCc1c(O)c(CN)c(C(=O)O)c(O)c1C(=O)OC"
"structure 303","COC(=O)c1c(N)c(CN)c(C(=O)O)c(O)c1C(=O)O"
"structure 304","CCCc1c(CC)c(N)c(C(=O)O)c(O)c1CC(C)C"
"structure 305","[H]c1c(O)c(C(=O)O)c(C#N)c(CO)c1C(=O)NC"
"structure 306","[H]c1c(O)c(C(=O)O)c(C(C)(C)C)c(O)c1CO"
"structure 307","CCc1c(N)c(O)c(C(=O)O)c(CC)c1C(=O)O"
